hidden_dim,num_layers,lr,weight_decay,val_loss
16,3,0.0001,0.0,0.5169905029520634
16,3,0.0001,1e-05,0.9898466114295764
16,3,0.001,0.0,0.46929007491418234
16,3,0.001,1e-05,0.523133594724038
16,5,0.0001,0.0,0.6266321095123791
16,5,0.0001,1e-05,0.4943414080053013
16,5,0.001,0.0,0.42550674829613955
16,5,0.001,1e-05,2.265463455903442
16,7,0.0001,0.0,0.514735546177992
16,7,0.0001,1e-05,0.45625850320610123
16,7,0.001,0.0,0.3065719389824409
16,7,0.001,1e-05,2.2137728638167014
32,3,0.0001,0.0,0.5641185385646033
32,3,0.0001,1e-05,0.6222156109328397
32,3,0.001,0.0,0.436014613089726
32,3,0.001,1e-05,0.451563933232095
32,5,0.0001,0.0,0.7516906294729262
32,5,0.0001,1e-05,0.31721268056842117
32,5,0.001,0.0,0.2793925939337696
32,5,0.001,1e-05,2.277457310759166
32,7,0.0001,0.0,0.24937370126618436
32,7,0.0001,1e-05,2.253145461387952
32,7,0.001,0.0,0.2693502674957096
32,7,0.001,1e-05,2.3197022739803455
64,3,0.0001,0.0,0.24290975191789274
64,3,0.0001,1e-05,0.3843612533748607
64,3,0.001,0.0,0.46919553308377304
64,3,0.001,1e-05,0.5569192516143575
64,5,0.0001,0.0,0.22651385821654527
64,5,0.0001,1e-05,0.19398799512877013
64,5,0.001,0.0,2.9230000969735546
64,5,0.001,1e-05,2.4480528774843475
64,7,0.0001,0.0,0.1772070269510299
64,7,0.0001,1e-05,2.20915414786596
64,7,0.001,0.0,2.2842439087618773
64,7,0.001,1e-05,2.4042955933236345
